"","concept_id","concept_name"
"1",35208414,"Gastrointestinal hemorrhage, unspecified"
"2",1118088,"celecoxib 200 MG Oral Capsule [Celebrex]"
"3",40213201,"pneumococcal polysaccharide vaccine, 23 valent"
"4",1557272,"Alendronate"
"5",4336464,"Coronary artery bypass graft"
"6",4295880,"Intramuscular injection"
"7",3020630,"Protein serum/plasma"
"8",19129655,"Ampicillin 100 MG/ML Injectable Solution"
"9",44923712,"celecoxib 200 MG Oral Capsule [Celebrex]"
"10",1569708,"Other diseases of digestive system"
